exercise_id,name,category,muscle_groups,equipment,difficulty,description,calories_per_minute,calories_per_rep,met_value
10,Decline bar press sit-up,strength,Abdominals,barbell,intermediate,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",4.404410691003535,6,6.177284497921384
11,Bench barbell roll-out,strength,Abdominals,barbell,beginner,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",6.346640575383078,13,6.323592675382942
12,Barbell Side Bend,strength,Abdominals,barbell,beginner,,3.56830648040959,13,3.6074972802188405
13,Seated bar twist,strength,Abdominals,barbell,intermediate,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",5.657645525594222,7,4.078822195214963
14,Single-arm landmine pull and press,strength,Abdominals,barbell,intermediate,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",6.563233231915894,14,5.27567486941771
15,Barbell Ab Roll Out - Gethin Variation,strength,Abdominals,barbell,intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",5.515333797829968,14,8.065870011202176
16,30 Barbell Floor Wiper,strength,Abdominals,barbell,intermediate,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",4.936071069266466,10,7.737979080264312
17,30 Barbell Roll-Out,strength,Abdominals,barbell,intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",7.490454981957266,14,7.642232258010022
18,Decline plate sit-up,strength,Abdominals,barbell,intermediate,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",4.117897888404606,9,5.869468916496542
19,KV Barbell Hip Thrust,strength,Abdominals,barbell,intermediate,,7.130955117706526,14,8.793715935377623
20,Advanced Kettlebell Windmill,strength,Abdominals,kettlebells,beginner,,8.723811056181301,6,8.236311460321266
21,Kettlebell Windmill,strength,Abdominals,kettlebells,intermediate,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",3.932092281934106,14,6.97853254769206
22,Kettlebell Pass Between The Legs,strength,Abdominals,kettlebells,beginner,,7.382852247168502,6,9.035683518163502
23,Kettlebell 3-point leg extension,strength,Abdominals,kettlebells,intermediate,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",5.369209851526696,5,7.251164310460238
24,Double Kettlebell Swing,strength,Abdominals,kettlebells,intermediate,,3.2423769266680096,7,6.773806834546727
25,Burpee over kettlebell,strength,Abdominals,kettlebells,intermediate,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",8.42056191578953,3,3.476249570017682
26,Kettlebell toe-touch,strength,Abdominals,kettlebells,intermediate,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",7.043933998839738,7,4.465896784307608
27,Kettlebell swing,strength,Abdominals,kettlebells,intermediate,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",5.010919221185602,9,8.661037109990962
28,Two-way swing,strength,Abdominals,kettlebells,intermediate,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",6.425831816301054,12,4.385418673439471
29,Kettlebell crab reach,strength,Abdominals,kettlebells,intermediate,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",4.417342103214653,3,8.49680915549602
30,Taylor Single-Arm Kettlebell Swing,strength,Abdominals,kettlebells,intermediate,,5.626324168669094,7,9.03278657377961
31,Holman Kettlebell Up to Elbow Down,strength,Abdominals,kettlebells,intermediate,,7.026918077397306,4,3.870917023784073
32,FYR2 Double-Kettlebell Ski,strength,Abdominals,kettlebells,intermediate,,4.174908564080567,6,4.446308196763857
33,FYR2 Kettlebell Hike,strength,Abdominals,kettlebells,intermediate,,5.486907957666416,12,6.997534518600603
34,FYR2 Kettlebell Cross-Body Catch,strength,Abdominals,kettlebells,intermediate,,7.9859854529983165,9,9.949440895012245
35,FYR2 Kettlebell Duck Walk,strength,Abdominals,kettlebells,intermediate,,3.8162821702330065,6,7.709087963035358
36,FYR2 Kettlebell Get-Up Reach,strength,Abdominals,kettlebells,intermediate,,8.510314966416056,4,5.179656662729857
37,FYR2 Kettlebell Juggle,strength,Abdominals,kettlebells,intermediate,,6.534802406129924,14,4.2042660760402715
38,FYR2 Squat-Clean-Alternating-Press Complex,strength,Abdominals,kettlebells,intermediate,,7.357764803314213,10,6.655317713055757
39,Dumbbell V-Sit Cross Jab,strength,Abdominals,dumbbell,intermediate,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",9.010422758825626,11,8.461493041700486
40,Dumbbell spell caster,strength,Abdominals,dumbbell,beginner,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",8.559899181037466,7,7.388948512565515
41,Dumbbell side bend,strength,Abdominals,dumbbell,intermediate,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",9.381515228562549,13,9.670110293332936
42,Dumbbell crunch,strength,Abdominals,dumbbell,intermediate,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",4.280847044306247,3,6.164126082209702
43,Dumbbell Fix Dumbbell Sprawl,strength,Abdominals,dumbbell,intermediate,,6.3228005554920905,5,3.3845654731142103
44,Dumbbell Fix Alternating Renegade Row,strength,Abdominals,dumbbell,intermediate,,9.266297785543621,7,8.679573844603276
45,Dumbbell Fix Dumbbell Mountain Climber,strength,Abdominals,dumbbell,intermediate,,3.8200251384867494,4,6.222382915308923
46,Dumbbell Fix Dumbbell Russian Twist,strength,Abdominals,dumbbell,intermediate,,6.814731001853051,14,4.916203340411948
47,Dumbbell Fix Dumbbell Pull-Over,strength,Abdominals,dumbbell,intermediate,,8.284420525578545,8,9.448735191106799
48,Dumbbell Fix Dumbbell Sit-Up,strength,Abdominals,dumbbell,intermediate,,6.2662098977714535,8,8.102897241850428
49,Dumbbell Fix Dumbbell Front Squat,strength,Abdominals,dumbbell,intermediate,,8.157754737194137,8,9.147639150653966
50,Dumbbell Fix Full Man Maker,strength,Abdominals,dumbbell,intermediate,,6.443345467687513,9,3.3357158272267218
51,Dumbbell T-hold,strength,Abdominals,dumbbell,intermediate,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",6.520123376804326,6,8.022732742411916
52,Dumbbell hollow-body floor press,strength,Abdominals,dumbbell,intermediate,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,9.430294465990833,11,9.459401621993141
53,Dumbbell crusher,strength,Abdominals,dumbbell,intermediate,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",6.290763066083859,11,3.486123553909766
54,Dumbbell Crunch - Gethin Variation,strength,Abdominals,dumbbell,intermediate,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",5.07517495885942,14,9.593051586866894
55,Single-arm dumbbell crunch,strength,Abdominals,dumbbell,intermediate,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",9.246248587109317,9,3.590049418565038
56,HM Alternating Dumbbell Plank Row,strength,Abdominals,dumbbell,intermediate,,8.467559727809592,3,9.220799691328136
57,Dumbbell straight-legged hip raise,strength,Abdominals,dumbbell,intermediate,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,5.311476440978822,7,4.169620279605477
58,Seated leg tuck with dumbbell,strength,Abdominals,dumbbell,intermediate,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,6.943891728195554,5,8.903930113402966
59,Dumbbell V-sit cross jab-,strength,Abdominals,dumbbell,intermediate,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",8.095656762990975,11,9.583669779118688
60,30 Hanging Leg Raise With Dumbbell,strength,Abdominals,dumbbell,intermediate,,5.999039472534434,11,4.695244251331274
61,Dumbbell Get-Up Sit-Up,strength,Abdominals,dumbbell,advanced,,3.0597332791381096,14,7.558112004425002
62,Holman Right Side Plank with Left Triceps Press,strength,Abdominals,dumbbell,intermediate,,7.7112934725693405,14,7.519862169478239
63,Holman Left Side Plank with Right Triceps Press,strength,Abdominals,dumbbell,intermediate,,5.108337504766463,8,4.0111093441569645
64,Holman Boat with Feet Push-Out and Overhead Press,strength,Abdominals,dumbbell,intermediate,,8.53412232737761,5,8.150042224935493
65,Holman Hovering Plank Row,strength,Abdominals,dumbbell,intermediate,,4.35517916845807,5,6.063445068981816
66,Holman Weighted Seated Killer Abs to Russian Twist,strength,Abdominals,dumbbell,intermediate,,9.349173561417299,5,6.791571016469579
67,Holman Straight Plank Dumbbell Reach-Under,strength,Abdominals,dumbbell,intermediate,,8.436873497840159,9,5.109987837944649
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,strength,Abdominals,dumbbell,intermediate,,4.971882536166206,13,6.160721960221069
69,Holman Weighted Burpee to Pike,strength,Abdominals,dumbbell,intermediate,,8.453649346629867,4,6.147199780874066
70,Holman Straight-Legged Boat Chest Press,strength,Abdominals,dumbbell,intermediate,,7.541697400583678,5,6.396302969153331
71,Holman Weighted Burpee to Side Delt Raise,strength,Abdominals,dumbbell,intermediate,,6.428038526942962,8,8.918475526067443
72,Holman Heavy Double Pike,strength,Abdominals,dumbbell,intermediate,,7.3749033070635805,3,8.87578670016541
73,Holman Heavy Double Split Pike,strength,Abdominals,dumbbell,intermediate,,3.2546622805540006,5,7.886370141612304
74,MetaBurn Alternating Dumbbell Sit-Through,strength,Abdominals,dumbbell,intermediate,,4.47284165129086,12,7.090868430863976
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,strength,Abdominals,dumbbell,intermediate,,8.127058353686884,4,5.415796195979518
76,MetaBurn Alternating Plank Row With Push-Up,strength,Abdominals,dumbbell,intermediate,,3.8342251983386975,5,7.090206780174722
77,MetaBurn Dumbbell Russian Twist,strength,Abdominals,dumbbell,intermediate,,3.6906278845291154,3,4.692444737113485
78,MetaBurn Dumbbell Toe-Touch,strength,Abdominals,dumbbell,intermediate,,5.597489836572686,11,4.880837413300652
79,MetaBurn Plank To Alternating Row,strength,Abdominals,dumbbell,intermediate,,7.252390722014574,10,5.529416335015052
80,Standing dumbbell knee crunch-,strength,Abdominals,dumbbell,intermediate,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",6.912608013521931,8,3.5526929341934306
81,MetaBurn Plank With Dumbbell Rotation,strength,Abdominals,dumbbell,intermediate,,8.100138271362773,4,7.360572866877251
82,FYR2 Dumbbell Crab Reach,strength,Abdominals,dumbbell,intermediate,,3.964839208390819,7,3.958184542509397
83,FYR2 Dumbbell Man-Maker,strength,Abdominals,dumbbell,intermediate,,6.524574602183336,6,9.922473112616364
84,FYR2 Dumbbell Sit-Up Reach,strength,Abdominals,dumbbell,intermediate,,6.248767142998175,9,8.952251868891913
85,FYR2 Loaded Beast Sprawl,strength,Abdominals,dumbbell,intermediate,,7.126370897933835,13,6.739741989068367
86,FYR2 Loaded to Unloaded Beast,strength,Abdominals,dumbbell,intermediate,,4.241144268438388,3,4.152630650448341
87,Lying Leg Pullover,strength,Abdominals,dumbbell,intermediate,,8.280797317206787,14,6.1119959404042525
88,Landmine twist,strength,Abdominals,other,intermediate,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",7.180827516306009,12,6.673558471145116
89,Suspended ab fall-out,strength,Abdominals,other,intermediate,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",7.691803649034553,6,6.7667997964925055
90,Decline reverse crunch,strength,Abdominals,other,intermediate,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",3.3090882324758826,12,5.7136864866759405
91,Plate Twist,strength,Abdominals,other,beginner,,4.834352802563462,7,5.618905354180265
92,Weighted Crunches,strength,Abdominals,other,intermediate,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",3.0717004958908394,7,5.791139185225834
93,Ab Roller,strength,Abdominals,other,intermediate,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",4.611308235534029,8,4.545983783231228
94,Otis-Up,strength,Abdominals,other,intermediate,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",3.3026452989022577,4,8.112232049703213
95,Captain's chair knee raise,strength,Abdominals,other,intermediate,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",9.57622053712744,13,3.1237309740477364
96,Sledgehammer swing,cardio,Abdominals,other,intermediate,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,9.456599605162594,12,7.298439668557795
97,Decline bar press sit-up,strength,Abdominals,barbell,intermediate,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",3.046075529278881,5,8.206868716094936
98,Pallof press,strength,Abdominals,other,intermediate,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",7.989120639573918,5,8.029504923417282
99,Weighted Sit-Ups - With Bands,strength,Abdominals,other,intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",4.198725699365195,14,8.06377030144652
100,Suitcase crunch,strength,Abdominals,other,intermediate,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",6.595646348195297,11,4.40394697371106
101,FYR Rope Jumping,strength,Abdominals,other,intermediate,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",7.321068615463538,12,9.904307355543656
102,Barbell press sit-up,strength,Abdominals,other,intermediate,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",4.828239003387796,7,8.306286217215249
103,Single-arm bent-over rear delt fly,strength,Abdominals,other,intermediate,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",8.66490257695226,14,8.612405936474568
104,Captain's chair leg raise,strength,Abdominals,other,intermediate,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",4.838943201846334,13,7.598353415835128
105,Shoulder-Elevated One-Leg Hip Thrusts,strength,Abdominals,other,intermediate,,4.956943243885601,10,3.829248072459443
106,Ab Twist - Gethin Variation,strength,Abdominals,other,intermediate,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",8.702000079501593,10,8.452019921849057
107,Weighted Crunch - Gethin Variation,strength,Abdominals,other,intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",7.311691368465907,14,6.353778726017106
108,Ab Wheel Roll-Out - Gethin Variation,strength,Abdominals,other,intermediate,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",9.637516659994976,6,3.814812598776271
109,Bench crunch,strength,Abdominals,other,intermediate,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",3.0011778154564657,9,6.782197357137905
110,Decline plate sit-up twist,strength,Abdominals,other,intermediate,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",9.2414696254461,13,8.611086204647371
111,Reverse ab roll-out,strength,Abdominals,other,intermediate,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",8.305228321305863,6,8.116040012262335
112,30 Seated Twist With PVC Pipe,strength,Abdominals,other,intermediate,The seated bar twist is a core exercise aiming to strengthen the obliques.,8.163839282046341,5,9.342116418062968
113,Suspended crunch-,strength,Abdominals,other,intermediate,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",3.7912068170219495,6,4.990461970501549
114,Suspended oblique crunch,strength,Abdominals,other,intermediate,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",5.482751881885175,10,5.982201795505532
115,Weighted sit-up,strength,Abdominals,other,intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",9.17716265127929,10,5.554470751783262
116,30 Decline Press Sit-Up,strength,Abdominals,other,intermediate,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,4.5456218328114,9,7.154261928813067
117,Holman Towel Reverse Plank Alternating Heel Pull-in,strength,Abdominals,other,intermediate,,6.262717982088791,14,3.935745517537721
118,Holman Boat with Weighted Cross Punch,strength,Abdominals,other,intermediate,,9.58587402324872,11,5.678093179877871
119,Holman Weighted Hook Punch,strength,Abdominals,other,intermediate,,9.238571461762525,11,3.9063398507368103
120,Holman Weighted Traveling Punch,strength,Abdominals,other,intermediate,,8.05672690061373,13,4.6010623277158675
121,Holman Weighted Uppercut Punch,strength,Abdominals,other,intermediate,,4.503312386657155,6,8.417867101829101
122,Holman Slow Weighted Double Pike,strength,Abdominals,other,intermediate,,5.795214098700351,5,7.28487230208056
123,Holman Plate Straight Plank Reach,strength,Abdominals,other,intermediate,,4.239200167834342,9,5.058498315089938
124,Holman Plate Elbow Plank Jack to Straight Plank Jack,strength,Abdominals,other,intermediate,,6.948375548842447,7,8.487526546843803
125,Holman Plate Hill Climber,strength,Abdominals,other,intermediate,,4.11127527220359,5,5.217186062618515
126,Holman Plate Reverse Plank Hill Climber,strength,Abdominals,other,intermediate,,3.7941158762196823,13,4.802971409451709
127,Holman Plate Straight Plank Pike to Jack,strength,Abdominals,other,intermediate,,8.167455970673892,6,8.050916234044957
128,Holman Plate In-and-Out Push-Up,strength,Abdominals,other,intermediate,,7.095105746445378,9,9.505598868733573
129,Holman Plate Burpee,strength,Abdominals,other,intermediate,,3.3554637492543797,11,9.621997952649753
130,Holman Plate Elbow Plank Reach,strength,Abdominals,other,intermediate,,3.3958350549920753,5,3.367500622392903
131,Holman Elbow Plank to Renegade Row,strength,Abdominals,other,intermediate,,3.309464915844005,12,7.629408830377859
132,Holman Straight Plank Weighted Hand Hill Climber,strength,Abdominals,other,intermediate,,7.241515404842151,5,6.182469865758377
133,Holman Weighted Left Side Diagonal Pike,strength,Abdominals,other,intermediate,,6.44637151473664,3,9.226445699621621
134,Holman Weighted Right Side Diagonal Pike,strength,Abdominals,other,intermediate,,6.787598551135811,10,6.950401735629095
135,Holman Weighted W-Boat to Overhead Press,strength,Abdominals,other,intermediate,,3.4266605162727233,6,3.6806939661704554
